Book Id,Title,Author,ISBN,ISBN13,My Rating,Number of Pages,Year Published,Date Read,Blurb,tags,,,,,,,,,,,,,,,
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,0316229296,9780316229296,5,468,2015,3/13/2016,"Jemisin is a fantastic world builder, and the structure of this book is breathtaking. This was a fantastic allegory about race and power, and one of my favorite books this year.","fantasy, seriously-good-writing, faves",,,,,,,,,,,,,,,
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,0356508366,9780356508368,5,448,2016,8/24/2016,"The second in the Broken Earth series. While not as breathtaking as the first, it lays out the groundwork for a (hopefully) stunning finale.",fantasy,,,,,,,,,,,,,,,
33917,The Namesake,Jhumpa Lahiri,0618485228,9780618485222,5,291,2004,12/31/2016,"The writing was fluid and gorgeous, and the situations were intensely familiar. I don't know why I didn't read this earlier. This hit me really hard emotionally.","faves, literature",,,,,,,,,,,,,,,
110890,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,037541486X,9780375414862,5,373,2006,12/29/2016,An insanely well-researched book with the pacing of a taut thriller. I can't recommend this enough!,"nonfiction, terrorism, faves",,,,,,,,,,,,,,,
,Black Flags: The Rise of ISIS,Joby Warwick,804168938,9780804168939,5,368,2015,12/30/2016,"I started this right after Looming Tower. This picks up almost right after Looming Tower's afterword ends, and follows a set of individuals through the history.","nonfiction, terrorism, faves",,,,,,,,,,,,,,,
23261601,ISIS: The State of Terror,Jessica Stern,0062395564,9780062395566,4,432,2015,3/7/2016,"Less focused on individuals than either Black Flags or Looming Tower, but it does focus heavily on ISIS's use of social media to recruit. I found the discussions and contrasts between Facebook and Twitter fascinating. tl;dr: the internet has real world impact, and neutrality is a clear political position.","nonfiction, terrorism",,,,,,,,,,,,,,,
21086818,"Do No Harm: Stories of Life, Death and Brain Surgery",Henry Marsh,0297869876,9780297869870,5,278,2014,1/1/2016,"The book opens with a quote by a French surgeon about living with surgical mistakes: “Every surgeon carries within himself a small cemetery, where from time to time he goes to pray.” This stuck with me, and sets the tone for the rest of this book about an imperfect science.","science, surgery, nonfiction, faves",,,,,,,,,,,,,,,
4477,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,0312421702,9780312421700,5,270,2003,2/6/2016,"An interesting dive into the challenges of surgery, especially with training and continuous learning.","science, surgery, nonfiction, faves",,,,,,,,,,,,,,,
193749,When the Air Hits Your Brain: Tales of Neurosurgery,Frank T. Vertosick Jr.,,9780449227138,5,288,1997,3/1/2016,"I read this simultaneously with Do No Harm. This was written about 20 years before that, and in a different country. Contrasting the differences in neurosurgery between the books made them pair really well.","science, surgery, nonfiction, faves",,,,,,,,,,,,,,,
13586707,My Brilliant Friend (The Neapolitan Novels #1),Elena Ferrante,1609450787,9781609450786,5,331,2012,6/18/2016,I'm obsessed with the pull of love and envy between the two main characters.,"faves, literature",,,,,,,,,,,,,,,
17465515,The Story of a New Name (The Neapolitan Novels #2),Elena Ferrante,1609451341,9781609451349,5,471,2013,6/29/2016,Lila and Elena reach womanhood. The men continue to be terrible.,"faves, literature",,,,,,,,,,,,,,,
23156040,Those Who Leave and Those Who Stay (The Neapolitan Novels #3),Elena Ferrante,1609452232,9781609452230,4,418,2014,7/15/2016,"A fun, intense read. Less into this than the second.",literature,,,,,,,,,,,,,,,
16884,The Making of the Atomic Bomb,Richard Rhodes,0684813785,9780684813783,5,886,1995,11/18/2016,"I finally finished this! I started this book in 2013. This was magnificent! Incredibly long, but it remained compelling through the entire book. The first third captures the delight of discovery really well. The last third, detailing the consequences of the bomb, is difficult to read.","science, nonfiction, faves",,,,,,,,,,,,,,,
8694389,"Deathless (Leningrad Diptych, #1)",Catherynne M. Valente,0765326302,9780765326300,5,352,2011,1/1/2016,I loved this retelling of a classic Russian fairytale! The writing's perfect.,fantasy,,,,,,,,,,,,,,,
880735,The Mathematical Theory of Communication,Claude Shannon,0252725484,9780252725487,5,125,1963,5/22/2016,"Not really a book, but since this paper was 55 pages long, I'm counting it. It's almost (almost) conversationally written!","science, nonfiction",,,,,,,,,,,,,,,
20613761,Citizen: An American Lyric,Claudia Rankine,1555976905,9781555976903,5,169,2014,10/20/2016,"I haven't read much poetry before, so I didn't know what to expect. The first half was incredibly compelling.","poetry, nonfiction",,,,,,,,,,,,,,,
11797471,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,1594203288,9781594203282,5,432,2012,1/18/2016,"It's kind of surprising how much of an impact Bell Labs has had on EECS. This book covers a few of the really momentous changes in electrical and systems engineering. A favorite moment -- the giant mylar balloon that was the world's first communications satellite. The last third of the book drags a little, partially because it covers the era when Bell Labs was mired in legal battles.","science, nonfiction, faves",,,,,,,,,,,,,,,
991197,The Complete Persepolis,Marjane Satrapi,0375714839,9780375714832,5,341,2007,9/1/2016,,nonfiction,,,,,,,,,,,,,,,
11774272,"The Killing Moon (Dreamblood, #1)",N.K. Jemisin,0356500764,9780356500768,4,418,2012,5/1/2016,,fantasy,,,,,,,,,,,,,,,
11774295,"The Shadowed Sun (Dreamblood, #2)",N.K. Jemisin,0356500772,9780356500775,5,492,2012,5/26/2016,I liked this book better than the first in the duology!,fantasy,,,,,,,,,,,,,,,
23444482,The Traitor Baru Cormorant,Seth Dickinson,0765380722,9780765380722,5,399,2015,8/8/2016,"I'm so conflicted about this. I've read many reviews that both love and are horrified by this book. I agree that it's playing the queer tragedy trope poorly.
The main character's an accountant who joins the civil service of a colonial power in order to subvert it. I <3 everything about that premise, and I love the sheer amount of foreshadowing in the book. The author does a really good job of imposing a sense of doom over the whole story, and when the blow finally lands, it hurts no less for how expected it is.",fantasy,,,,,,,,,,,,,,,
22544764,Uprooted,Naomi Novik,0804179034,9780804179034,5,435,2015,7/25/2016,"Good YA fantasy! I really liked the world, and got fairly invested in the characters.",fantasy,,,,,,,,,,,,,,,
20342617,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,0812994523,9780812994520,4,336,2014,3/30/2016,,nonfiction,,,,,,,,,,,,,,,
20525628,How to Build a Girl,Caitlin Moran,9780062335975,62335979,4,368,2014,4/15/2016,Captures being a teenage girl fantastically well.,literature,,,,,,,,,,,,,,,
18490533,Radiance,Catherynne M. Valente,0765335298,9780765335296,4,429,2015,2/2/2016,"This book is set in an alternate universe solar system, as imagined from the 1920s. I love retrofuturism, and the lush deco worlds of this system was delightful.","science-fiction, seriously-good-writing",,,,,,,,,,,,,,,
518848,"Sabriel (Abhorsen,  #1)",Garth Nix,0064471837,9780064471831,5,491,1996,11/23/2016,"reread! I still really love this series. The audiobook is narrated by Tim Curry, which was delightful. <3 Sabriel's a well-balanced and interesting character, and while a little overpowered, there's definitely room for growth. The characters are a bit flat, and don't develop all that much, but the world and my nostalgia for the book more than makes up for that.",fantasy,,,,,,,,,,,,,,,
47624,"Lirael (Abhorsen, #2)",Garth Nix,0060590165,9780060590161,4,464,2015,11/28/2016,"reread! I don't like Lirael as much as a character, but I did enjoy getting a peek into the Clayr's realm, and learning more about the Charter's beginnings.",fantasy,,,,,,,,,,,,,,,
334643,"Abhorsen (Abhorsen, #3)",Garth Nix,0060278250,9780060278250,4,358,2003,12/10/2016,"reread! This (mostly) makes up for Lirael. Nostalgia fave, honestly.",fantasy,,,,,,,,,,,,,,,
30555488,The Underground Railroad,Colson Whitehead,0385542364,9780385542364,4,306,2016,10/20/2016,,literature,,,,,,,,,,,,,,,
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,0553283685,9780553283686,4,482,1990,10/10/2016,"Neat world, neat story structure. I enjoyed it, but wasn't super thrilled with the female characters/some of the cornier stereotypes. I had to power through the poet's tale.",science-fiction,,,,,,,,,,,,,,,
77810,The Days of Abandonment,Elena Ferrante,1933372001,9781933372006,4,188,2005,7/18/2016,"An intense read. Emotionally unsparing, and hits its stride about a quarter of the way through. The writing's really evocative, and it's not easy to read on public transit.
I'm not super satisfied with the ending, and some of the symbolism is heavy-handed.","seriously-good-writing, literature",,,,,,,,,,,,,,,
17139513,The Unwinding: An Inner History of the New America,George Packer,1466836954,9781466836952,5,448,2013,7/17/2016,Tells the history of the U.S. economy from the 80s to now through a few characters. This was a really gripping read!,nonfiction,,,,,,,,,,,,,,,
12591698,"Caliban's War (Expanse, #2)",James S.A. Corey,1841499900,9781841499901,4,595,2012,2/16/2016,"I enjoyed this more than Leviathan Wakes. There's a tiny bit more effort put into the characterization, and there's a lot of discussion about the consequences of truth.",science-fiction,,,,,,,,,,,,,,,
27003,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,0142001805,9780142001806,4,374,2003,12/19/2016,"A fun, absurd read!",fantasy,,,,,,,,,,,,,,,
6334,Never Let Me Go,Kazuo Ishiguro,1400078776,9781400078776,3,288,2010,8/18/2016,"oh gosh, Ruth's casual cruelty is breathtaking. It's definitely a page turner. Beyond that, I wish I'd been given more of the world. It's a little disappointing that it's such a vaguely sketched out universe.",science-fiction,,,,,,,,,,,,,,,
61905,Barrayar,Lois McMaster Bujold,0743468414,9780743468411,4,336,2003,1/8/2016,"The second in the Vorkosigan Saga (or not, depending on how you count.) Cordelia's a fantastic character, but I'm not sure I want to keep reading.",science-fiction,,,,,,,,,,,,,,,
29396738,"Monstress, Volume 1: Awakening",Marjorie M. Liu,1632157098,9781632157096,4,202,2016,8/30/2016,GORGEOUS artwork. Sarcastic cat magicians (nekomancers!!),fantasy,,,,,,,,,,,,,,,
60931,Kindred,Octavia E. Butler,0807083690,9780807083697,4,287,2004,6/4/2016,,science-fiction,,,,,,,,,,,,,,,
910863,"Spin (Spin, #1)",Robert Charles Wilson,076534825X,9780765348258,4,458,2006,12/6/2016,,science-fiction,,,,,,,,,,,,,,,
15704307,"Saga, Volume 1-6",Brian K. Vaughan,1607066017,9781607066019,5,160,2012,8/9/2016,"A fun comics series. The artwork is beautiful, and the story rushes along, completely absurd.",science-fiction,,,,,,,,,,,,,,,
1199688,Babel-17,Samuel R. Delany,0839823282,9780839823285,4,158,1978,1/1/2016,,science-fiction,,,,,,,,,,,,,,,
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,1476733503,9781476733500,4,592,2016,5/30/2016,"I _loved_ Emperor of All Maladies, and was excited for this followup. It's skillfully written, but not as gripping as Emperor.","nonfiction, science",,,,,,,,,,,,,,,
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,0765376458,9780765376459,4,398,2015,8/30/2016,,fantasy,,,,,,,,,,,,,,,
36086,"The Ghost Map: The Story of London's Most Terrifying Epidemic - and How It Changed Science, Cities, and the Modern World",Steven Johnson,1594489254,9781594489259,4,299,2006,3/17/2016,,nonfiction,,,,,,,,,,,,,,,
29503206,"Ninefox Gambit (The Machineries of Empire, #1)",Yoon Ha Lee,,9781781084496,4,384,2016,10/4/2016,"I enjoyed the first third a ton (what a weird world!), and the characters buoyed me through the rest.",science-fiction,,,,,,,,,,,,,,,
11650269,Copenhagen,Michael Frayn,"Frayn, Michael",,5,,5,4,"A play about the fateful meeting between Bohr and Heisenberg in 1941. There are many interpretations about exactly what happened that day, and this play retells several. I love the Rashomon-esque exploration of truth and memory.",literature,144,,1998,9/30/2014,9/30/2014,,,read,,,,,,,0
